        起 点 站        终 点 站        飞 行 日 期        航 班 号        飞 机 号        乘 载 量        余 票 量
            北京  --->      上海           20200601          JD5649           P0697             100             100
            北京  --->      成都           20200601          JD1180           P0275             100             100
            北京  --->      广州           20200601          JD6693           P0660             100             100
            北京  --->      西安           20200601          JD9322           P0555             100             100
            北京  --->      深圳           20200601          JD4688           P0940             100             100
            北京  --->      香港           20200601          JD5968           P0177             100             100
            北京  --->      昆明           20200601          JD7601           P0531             100             100
            北京  --->      杭州           20200601          JD0859           P0171             100             100
            北京  --->      厦门           20200601          JD1245           P0866             100             100
            上海  --->      北京           20200601          FM0776           P0162             100             100
            上海  --->      成都           20200601          FM4692           P0013             100             100
            上海  --->      广州           20200601          FM7067           P0765             100             100
            上海  --->      西安           20200601          FM5109           P0362             100             100
            上海  --->      深圳           20200601          FM1650           P0332             100             100
            上海  --->      香港           20200601          FM5077           P0851             100             100
            上海  --->      昆明           20200601          FM3365           P0175             100             100
            上海  --->      杭州           20200601          FM6908           P0458             100             100
            上海  --->      厦门           20200601          FM7409           P0687             100             100
            成都  --->      北京           20200601          EU4896           P0405             100             100
            成都  --->      上海           20200601          EU7382           P0637             100             100
            成都  --->      广州           20200601          EU3222           P0866             100             100
            成都  --->      西安           20200601          EU7150           P0147             100             100
            成都  --->      深圳           20200601          EU2758           P0396             100             100
            成都  --->      香港           20200601          EU3311           P0232             100             100
            成都  --->      昆明           20200601          EU8351           P0942             100             100
            成都  --->      杭州           20200601          EU5282           P0656             100             100
            成都  --->      厦门           20200601          EU5355           P0831             100             100
            广州  --->      北京           20200601          BY0580           P0658             100             100
            广州  --->      上海           20200601          BY2084           P0727             100             100
            广州  --->      成都           20200601          BY2765           P0396             100             100
            广州  --->      西安           20200601          BY7399           P0106             100             100
            广州  --->      深圳           20200601          BY0864           P0876             100             100
            广州  --->      香港           20200601          BY5192           P0331             100             100
            广州  --->      昆明           20200601          BY0962           P0392             100             100
            广州  --->      杭州           20200601          BY9894           P0418             100             100
            广州  --->      厦门           20200601          BY4943           P0609             100             100
